종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,BPS,주당배당금,배당수익률,PER,PBR,PCR,PSR
150840,인트로메딕,코스닥,의료·정밀기기,3000,-200,94108278000,2020-12-28,-,3000,,598,0,0,,6.46131258805032,,11.6744170625
038530,골드퍼시픽,코스닥,유통,1420,40,94000087900,2020-12-28,-,1420,,629,0,0,,4.51772667298578,,8.43575511504425
022220,정산애강,코스닥,화학,1810,-5,93748187990,2020-12-28,-,1810,222,1603,0,0,8.21957449347826,1.13885670692771,6.17811154738562,1.32388104586835
047770,코데즈컴바인,코스닥,섬유·의류,2470,-55,93471226940,2020-12-28,-,2470,181,1099,0,0,13.9683722088235,2.24021063726415,18.2663328884615,2.65321036368715
040160,누리텔레콤,코스닥,IT S/W & SVC,7750,-280,93430396250,2020-12-28,-,7750,761,5666,50,0.65,10.6738894157303,1.39088749341142,5.79253754878049,0.642309775524003
006140,피제이전자,코스닥,의료·정밀기기,6210,-140,9.315e+10,2020-12-28,-,6210,326,7136,140,2.25,19.05,0.894392523364486,15.95,0.963746223564955
006050,국영지앤엠,코스닥,비금속,2665,-15,92995822595,2020-12-28,-,2665,32,1514,15,0.56,83.28,1.79432925653409,,1.29781622938356
065500,오리엔트정공,코스닥,운송장비·부품,791,-5,92716718542,2020-12-28,-,791,,424,0,0,,1.81715933878558,25.20113083,0.984216825837616
133750,메가엠디,코스닥,기타서비스,3960,-180,92692024920,2020-12-28,-,3960,19,2483,50,1.26,237.2892430875,1.65646941073298,9.78512342628866,1.18054349794776
317120,라닉스,코스닥,일반전기전자,9650,-400,92596575000,2020-12-28,-,9650,,1873,0,0,,5.36697457627119,949.9545,10.55505
060560,홈센타홀딩스,코스닥,유통,1085,15,92347623445,2020-12-28,-,1085,,934,0,0,,0.648964324982432,6.5962588175,0.347694365380271
071280,로체시스템즈,코스닥,IT H/W,6030,-80,92238516090,2020-12-28,-,6030,80,4274,0,0,80.1796940583333,1.4711870469419,,1.20570968508772
219130,타이거일렉,코스닥,IT H/W,14600,600,92188634000,2020-12-28,-,14600,255,6915,0,0,57.25,2.16015184210526,27.7643045588235,2.68941981481481
299170,더블유에스아이,코스닥,유통,3250,-170,92163379750,2020-12-28,-,3250,,,0,0,24.96191091125,8.05222932620968,52.5513913921053,4.21298074451477
002230,피에스텍,코스닥,의료·정밀기기,4670,-110,91855364810,2020-12-28,-,4670,131,7280,150,3.21,37.214207756,0.649689381215084,,1.83502010631164
033560,블루콤,코스닥,IT H/W,5060,-50,91525517820,2020-12-28,-,5060,101,9221,0,0,53.4602278,0.576908933093525,21.38409112,3.36462972167832
174880,장원테크,코스닥,IT H/W,1315,-105,91373398310,2020-12-28,-,1315,,2073,0,0,,1.4704836754491,14.2359868869565,1.03616360253165
065560,녹원씨엔아이,코스닥,출판·매체복제,5290,130,91308706250,2020-12-28,-,5290,,4418,0,0,,1.3612242164723,9.43232133838384,1.4988761035313
037030,파워넷,코스닥,일반전기전자,5710,170,91285033410,2020-12-28,-,5710,451,4422,0,0,17.3868640259259,1.76815566365348,23.472266435,0.730086047744946
258830,세종메디칼,코스닥,의료·정밀기기,13400,-600,90821729400,2020-12-28,-,13400,520,6822,100,0.75,25.8522406714286,1.979930904814,20.1072983,5.58536063888889
101330,모베이스,코스닥,IT H/W,3785,-5,90681741580,2020-12-28,-,3785,1942,11222,0,0,2.02163451887202,0.271159008786733,1.12693290592503,0.142831189762452
066900,디에이피,코스닥,IT H/W,3985,-55,90636844455,2020-12-28,-,3985,54,4423,0,0,73.8,0.917919305964215,6.4126862625,0.34137775297597
056700,신화인터텍,코스닥,IT H/W,3110,-50,90610133010,2020-12-28,-,3110,327,3315,50,1.61,9.75258835578947,0.959105480124224,2.74111211183432,0.3641886375
049720,고려신용정보,코스닥,기타서비스,6330,30,9.0519e+10,2020-12-28,-,6330,476,1577,250,3.95,13.1516666666667,3.85782222222222,11.7298648648649,0.745072961373391
016600,큐캐피탈,코스닥,금융,538,-7,90331234574,2020-12-28,-,538,37,798,0,0,14.54,0.810975298926655,,
130500,GH신소재,코스닥,섬유·의류,8200,-300,9.02e+10,2020-12-28,-,8200,204,3899,0,0,42.6,2.18461538461538,29.2875,1.39464285714286
