종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,PCR,PSR
053160,프리엠스,코스닥,일반전기전자,8400,0,5.04e+10,2020-11-20,-,8400,102,82.35,7582,1.11,50,0.6,,
067920,이글루시큐리티,코스닥,IT S/W & SVC,4550,-25,50032341450,2020-11-20,-,4550,211,21.56,4392,1.04,140,3.08,,
098120,마이크로컨텍솔,코스닥,IT H/W,6000,400,49876596000,2020-11-20,-,6000,106,56.6,3942,1.52,0,0,,
079650,서산,코스닥,비금속,2490,-5,4.98e+10,2020-11-20,-,2490,,,3526,0.71,0,0,,
076610,해성옵틱스,코스닥,IT H/W,1550,5,49652171450,2020-11-20,-,1550,,,1957,0.79,0,0,,
099410,동방선기,코스닥,운송장비·부품,3660,-70,49560067320,2020-11-20,-,3660,,,2108,1.74,0,0,,
071850,캐스텍코리아,코스닥,운송장비·부품,2985,-15,49459026180,2020-11-20,-,2985,,,7346,0.41,0,0,,
049120,파인디앤씨,코스닥,IT H/W,1870,10,49293095280,2020-11-20,-,1870,,,1718,1.09,25,1.34,,
027040,서울전자통신,코스닥,유통,707,6,49199314829,2020-11-20,-,707,59,11.98,1343,0.53,0,0,,
060260,뉴보텍,코스닥,화학,1470,-10,49147612500,2020-11-20,-,1470,66,22.27,826,1.78,0,0,,
054040,한국컴퓨터,코스닥,IT H/W,3040,10,48856721600,2020-11-20,-,3040,496,6.13,5849,0.52,130,4.28,,
213090,미래테크놀로지,코스닥,IT S/W & SVC,7980,-30,48843888240,2020-11-20,-,7980,554,14.4,9297,0.86,120,1.5,,
046070,코다코,코스닥,운송장비·부품,1250,-5,48830320000,2020-11-20,-,1250,,,752,1.66,0,0,,
290660,네오펙트,코스닥,의료·정밀기기,3925,-15,48694649000,2020-11-20,-,3925,,,907,4.33,0,0,,
154040,솔루에타,코스닥,IT H/W,3745,-115,48610646770,2020-11-20,-,3745,,,4924,0.76,0,0,,
066910,손오공,코스닥,유통,1785,20,48009647385,2020-11-20,-,1785,,,909,1.96,0,0,,
039240,경남스틸,코스닥,금속,1920,-10,4.8e+10,2020-11-20,-,1920,186,10.32,3487,0.55,90,4.69,,
039980,리노스,코스닥,유통,1150,-5,47771696900,2020-11-20,-,1150,,,1806,0.64,0,0,,
254120,자비스,코스닥,기계·장비,2340,540,47510133840,2020-11-20,-,2340,,,806,2.9,0,0,,
065770,CS,코스닥,IT H/W,2520,25,47464578000,2020-11-20,-,2520,,,1155,2.18,0,0,,
048470,대동스틸,코스닥,금속,4740,25,4.74e+10,2020-11-20,-,4740,32,148.12,6111,0.78,30,0.63,,
126640,화신정공,코스닥,운송장비·부품,1300,0,47286053100,2020-11-20,-,1300,99,13.13,2217,0.59,30,2.31,,
017000,신원종합개발,코스닥,건설,4690,85,47219046630,2020-11-20,-,4690,1351,3.47,8649,0.54,0,0,,
096640,멜파스,코스닥,IT H/W,1610,65,46842460560,2020-11-20,-,1610,,,1327,1.21,0,0,,
131180,딜리,코스닥,IT H/W,1595,0,46813250000,2020-11-20,-,1595,74,21.55,1964,0.81,40,2.51,,
136510,쎄미시스코,코스닥,기계·장비,8300,120,46792735700,2020-11-20,-,8300,,,4633,1.79,0,0,,
008470,부스타,코스닥,금속,5530,-10,46478544000,2020-11-20,-,5530,416,13.29,8763,0.63,90,1.63,,
032580,피델릭스,코스닥,IT H/W,1460,25,46440170560,2020-11-20,-,1460,,,1370,1.07,0,0,,
038620,위즈코프,코스닥,유통,1195,25,46402772540,2020-11-20,-,1195,2,597.5,1029,1.16,0,0,,
208710,바이오로그디바이스,코스닥,IT H/W,1600,20,46192571200,2020-11-20,-,1600,219,7.31,1944,0.82,0,0,,
320000,윈텍,코스닥,기계·장비,2570,35,46003380360,2020-11-20,-,2570,,,,,,,,
092300,현우산업,코스닥,IT H/W,2980,45,45909692260,2020-11-20,-,2980,156,19.1,4933,0.6,100,3.36,,
064510,에코마이스터,코스닥,기계·장비,1720,25,45909565760,2020-11-20,-,1720,,,855,2.01,0,0,,
053270,구영테크,코스닥,운송장비·부품,1735,-5,45793891890,2020-11-20,-,1735,136,12.76,2717,0.64,30,1.73,,
109080,옵티시스,코스닥,IT H/W,8110,20,45707960000,2020-11-20,-,8110,579,14.01,6727,1.21,50,0.62,,
063760,이엘피,코스닥,IT H/W,9300,0,45667650000,2020-11-20,-,9300,859,10.83,14225,0.65,120,1.29,,
060480,국일신동,코스닥,금속,4065,55,45080850000,2020-11-20,-,4065,,,4269,0.95,50,1.23,,
140520,대창스틸,코스닥,금속,2250,-25,4.5e+10,2020-11-20,-,2250,,,4685,0.48,100,4.44,,
094970,제이엠티,코스닥,IT H/W,2680,30,44885283200,2020-11-20,-,2680,57,47.02,3300,0.81,50,1.87,,
038110,에코플라스틱,코스닥,운송장비·부품,1745,5,44793050650,2020-11-20,-,1745,,,4274,0.41,30,1.72,,
190650,코리아에셋투자증권,코스닥,금융,6990,-50,44652120000,2020-11-20,-,6990,1207,5.79,10902,0.64,300,4.29,,
019990,에너토크,코스닥,기계·장비,4545,80,44341419960,2020-11-20,-,4545,51,89.12,4106,1.11,50,1.1,,
011080,형지I&C,코스닥,섬유·의류,1135,20,44214683180,2020-11-20,-,1135,,,581,1.95,0,0,,
105550,트루윈,코스닥,일반전기전자,3625,55,44121064000,2020-11-20,-,3625,,,2075,1.75,0,0,,
046970,우리로,코스닥,유통,1550,15,43653417250,2020-11-20,-,1550,,,1107,1.4,0,0,,
039310,세중,코스닥,기타서비스,2405,5,43582609135,2020-11-20,-,2405,123,19.55,4462,0.54,0,0,,
054630,에이디칩스,코스닥,기타 제조,881,42,43304385913,2020-11-20,-,881,,,683,1.29,0,0,,
024940,PN풍년,코스닥,금속,4325,120,4.325e+10,2020-11-20,-,4325,577,7.5,3828,1.13,25,0.58,,
082660,코스나인,코스닥,IT H/W,1520,20,42978264480,2020-11-20,-,1520,,,629,2.42,0,0,,
204840,지엘팜텍,코스닥,기타서비스,910,-1,42961299290,2020-11-20,-,910,,,62,14.68,0,0,,
119500,포메탈,코스닥,금속,3620,-10,42886979840,2020-11-20,-,3620,186,19.46,3776,0.96,60,1.66,,
051390,YW,코스닥,유통,3775,-35,42866514200,2020-11-20,-,3775,218,17.32,6272,0.6,50,1.32,,
128540,에코캡,코스닥,운송장비·부품,2940,40,42802872000,2020-11-20,-,2940,76,38.68,4556,0.65,0,0,,
064480,브리지텍,코스닥,IT S/W & SVC,3580,155,42789950000,2020-11-20,-,3580,,,2755,1.3,100,2.79,,
208350,지란지교시큐리티,코스닥,출판·매체복제,5500,60,42759931500,2020-11-20,-,5500,318,17.3,5177,1.06,0,0,,
054930,유신,코스닥,기타서비스,14250,50,4.275e+10,2020-11-20,-,14250,,,27126,0.53,0,0,,
079170,한창산업,코스닥,금속,8170,220,4.2484e+10,2020-11-20,-,8170,227,35.99,10088,0.81,110,1.35,,
